Casablanca,1942,DVD,MAN
Charade,1953,DVD,Audrey Hepburn, Cary Grant, Walter Matthau, James Coburn, George Kennedy
Cool Hand Luke,1967,VHS,Paul Newman, George Kennedy, Strother Martin
The Sting,1973,DVD,Robert Redford, Paul Newman, Robert Shaw, Charles Durning
 The Muppet Movie,1979,DVD,Jim Henson, Frank Oz, Dave Geolz, Mel Brooks, James Coburn, Charles Durning, Austin Pendleton
 Get Shorty,1995,DVD,John Travolta, Danny DeVito, Renne Russo, Gene Hackman, Dennis Farina
